USC00046336        2363R
USC00046370        3143Q
USC00046377        2060R
USC00046386         695Q
USC00046399        2226R
USC00046498        5099R
USC00046506        2610S
USC00046508        3496R
USC00046521        2495R
USC00046569        1723R
USC00046572        1744R
USC00046599        2577R
USC00046610        3541R
USC00046624        2551S
USC00046635         793S
USC00046646        2732R
USC00046657        4099S
USC00046685        2936S
USC00046699        1348S
USC00046719        1054R
USC00046730        2864S
USC00046773        2583R
USC00046826        2825S
USC00046926        3773R
USC00046943        3034R
USC00046960        3094R
USC00046962        3189R
USC00047050        1429R
USC00047077        2041R
USC00047085        6998S
USC00047109        3296S
USC00047150        3724S
USC00047195        5413R
USC00047228        2263R
USC00047253        3017S
USC00047306        1692S
USC00047339        2536R
USC00047404        3839S
USC00047414        2545R
USC00047470        1286R
USC00047473        1471R
USC00047641        8589R
USC00047643        2544S
USC00047668        2900R
USC00047689        3623R
USC00047723        1420R
USC00047741        1633Q
USC00047767        3564R
USC00047785        1290R
USC00047807        3915R
USC00047813        1950R
USC00047821        2257S
USC00047836        1665Q
USC00047846        2366R
USC00047851        2488S
USC00047874        1406R
USC00047880        2803R
USC00047888        1004S
USC00047902        1614R
USC00047916        2417S
USC00047953        1548S
USC00047957        1701R
USC00047965        2567S
USC00048025        4410Q
USC00048045        3217S
USC00048135        2794S
USC00048163        3332R
USC00048200        1680Q
USC00048207        5245R
USC00048218        6682Q
USC00048273        4075R
USC00048351        2821S
USC00048353        3719R
USC00048380        6251R
USC00048490        3948Q
USC00048560        2389R
USC00048587        3276R
USC00048606        5111S
USC00048655        1927R
USC00048702        5822R
USC00048713        3004R
USC00048752        2233R
USC00048758        7858S
USC00048826        4296R
USC00048829        4203Q
USC00048873        7564R
USC00048904        1702Q
USC00048917        2769S
USC00048928        3836R
USC00048999        2602Q
USC00049001        2280R
USC00049026        4356R
USC00049035        2166R
USC00049043        7941S
USC00049053        6683R
USC00049073        2375R
USC00049087        1674R
USC00049099        1706R
USC00049102        1571Q
USC00049105        8800R
USC00049111        2600R
USC00049122        3040S
USC00049152        1228S
USC00049200        2298S
USC00049325        2761R
USC00049351        7154Q
USC00049367        2386S
USC00049378        1522R
USC00049440        2801R
USC00049452        2335R
USC00049473        2918S
USC00049490        4445R
USC00049621        2892R
USC00049671        3526R
USC00049684        4762S
USC00049694        3548Q
USC00049699        2428R
USC00049742        2262C
USC00049781        2353R
USC00049785        1635Q
USC00049792        2595R
USC00049822        5761R
USC00049847        1244Q
USC00049855        4658R
USC00049859        2688Q
USC00049866        5270S
USC00050109        6328R
USC00050128        8586Q
USC00050185        9521R
USC00050214        6891S
USC00050263       10793S
USC00050301        6104R
USC00050306        5882Q
USC00050372        8379S
USC00050454        8879S
USC00050754        7974Q
USC00050776        8037R
USC00050797        9003R
USC00050825       12249Q
USC00050834        5913R
USC00050848        5479S
USC00050945        6990S
USC00050950        6113S
USC00051017        8442R
USC00051018        7263Q
USC00051060        7381R
USC00051071        7590R
USC00051121        6038R
USC00051179        6285S
USC00051186       10022S
USC00051268        4805S
USC00051294        5466R
USC00051401        6188R
USC00051440        6297R
USC00051443        6621R
USC00051458        8427S
USC00051528        6847S
USC00051539        5671R
USC00051547        5934R
USC00051564        5560S
USC00051609        8544S
USC00051620        6344Q
USC00051660       12543R
USC00051681        9301R
USC00051713        9580S
USC00051741        6794R
USC00051743        6926R
USC00051772        5298R
USC00051886        6025S
