"","station","htdd","hdd","qual","lat","long"
"4920","USC00467029","5078S",5078,"S",37.5742,-81.5356
"4921","USC00467513","6024R",6024,"R",38.2061,-80.5206
"4922","USC00467552","4812S",4812,"S",38.8172,-81.7119
"4923","USC00467649","5675R",5675,"R",38.8561,-80.3075
"4924","USC00467730","5371S",5371,"S",39.3389,-78.7728
"4925","USC00467785","5751S",5751,"S",39.3419,-79.67
"4926","USC00467918","5536R",5536,"R",38.9817,-81.5658
"4927","USC00468051","6447R",6447,"R",38.3333,-79.925
"4928","USC00468308","8161S",8161,"S",38.3989,-79.995
"4929","USC00468351","5510R",5510,"R",38.7506,-81.9808
"4930","USC00468384","5376S",5376,"S",38.8008,-81.3583
"4931","USC00468614","5698R",5698,"R",38.22,-80.8939
"4932","USC00468662","5147R",5147,"R",38.6611,-80.6969
"4933","USC00468777","6159S",6159,"S",39.4467,-79.5469
"4934","USC00468986","5574R",5574,"R",39.3136,-80.0297
"4935","USC00469011","5308R",5308,"R",37.5436,-80.5336
"4936","USC00469281","5476S",5476,"S",39.1139,-78.5811
"4937","USC00469333","5090R",5090,"R",38.4739,-80.4086
"4938","USC00469336","5247R",5247,"R",38.5358,-80.4169
"4939","USC00469436","5250R",5250,"R",39.0439,-80.4725
"4940","USC00469458","5322R",5322,"R",39.2911,-80.7694
"4941","USC00469482","5308R",5308,"R",40.0567,-80.7283
"4942","USC00469522","5690S",5690,"S",37.7889,-80.3083
"4943","USC00469610","4163R",4163,"R",37.6731,-82.2761
"4944","USC00469683","4663S",4663,"S",38.5278,-81.9153
"4945","USC00470045","7038R",7038,"R",42.6475,-89.0644
"4946","USC00470124","7130S",7130,"S",44.3272,-91.9194
"4947","USC00470175","8324R",8324,"R",45.3011,-92.3631
"4948","USC00470239","9095R",9095,"R",45.1603,-89.1128
"4949","USC00470265","7629S",7629,"S",44.2769,-88.4378
"4950","USC00470273","7283S",7283,"S",43.0411,-89.4286
"4951","USC00470308","7947R",7947,"R",43.3008,-89.3269
"4952","USC00470349","9034R",9034,"R",46.5831,-90.9678
"4953","USC00470516","7563R",7563,"R",43.4583,-89.7269
"4954","USC00470603","8689R",8689,"R",46.8833,-90.8167
"4955","USC00470645","7445S",7445,"S",43.4447,-88.8478
"4956","USC00470696","6890S",6890,"S",42.5039,-89.0311
"4957","USC00470773","8524R",8524,"R",45.5556,-90.9592
"4958","USC00470882","8220S",8220,"S",44.2906,-91.23
"4959","USC00470904","8316S",8316,"S",45.0956,-91.4886
"4960","USC00470991","8882R",8882,"R",44.8558,-88.9889
"4961","USC00471044","8259R",8259,"R",44.9878,-88.3769
"4962","USC00471064","7937R",7937,"R",44.1614,-88.0803
"4963","USC00471078","7198S",7198,"S",42.6181,-89.3861
"4964","USC00471131","9218R",9218,"R",46.5378,-91.5919
"4965","USC00471205","7462R",7462,"R",42.6508,-88.2544
"4966","USC00471249","9561R",9561,"R",46.0544,-90.5217
"4967","USC00471280","7541R",7541,"R",43.7447,-90.7783
"4968","USC00471416","7178S",7178,"S",43.0597,-89.4819
"4969","USC00471568","7649S",7649,"S",44.0328,-88.1469
"4970","USC00471676","8086S",8086,"S",44.6228,-88.7483
"4971","USC00471847","9218S",9218,"S",45.8003,-91.4594
"4972","USC00471897","8770R",8770,"R",45.3575,-88.1919
"4973","USC00471923","8793S",8793,"S",45.5333,-92.0222
"4974","USC00471970","7408R",7408,"R",43.6561,-89.2028
"4975","USC00471978","8643S",8643,"S",46.0086,-92.3736
"4976","USC00472001","7452R",7452,"R",42.6781,-90.1064
"4977","USC00472165","7320R",7320,"R",44.1331,-91.5511
"4978","USC00472173","7626R",7626,"R",42.9608,-90.1161
"4979","USC00472240","9082R",9082,"R",46.3333,-91.2667
"4980","USC00472314","8777R",8777,"R",45.9169,-89.2564
"4981","USC00472556","7837R",7837,"R",44.7303,-92.4586
"4982","USC00472826","9234R",9234,"R",45.9336,-88.2583
"4983","USC00472839","7670S",7670,"S",43.7953,-88.4533
"4984","USC00472869","7160S",7160,"S",42.905,-88.8589
"4985","USC00472889","9080R",9080,"R",46.4856,-92.2875
"4986","USC00473022","7746R",7746,"R",43.3144,-90.8486
"4987","USC00473038","6907S",6907,"S",43.5706,-91.2294
"4988","USC00473058","7552S",7552,"S",43.2389,-88.1222
"4989","USC00473174","8901R",8901,"R",45.6214,-88.3603
"4990","USC00473186","9082S",9082,"S",46.245,-91.8047
"4991","USC00473332","9685S",9685,"S",46.4858,-90.4372
"4992","USC00473405","7917R",7917,"R",44.1186,-89.5358
"4993","USC00473453","7655S",7655,"S",43.3311,-88.4114
"4994","USC00473471","8443R",8443,"R",44.4169,-90.7314
"4995","USC00473511","8609R",8609,"R",46.0003,-91.5075
"4996","USC00473654","7611S",7611,"S",43.6542,-90.3339
"4997","USC00473698","8530R",8530,"R",45.2236,-91.1269
"4998","USC00473756","7552R",7552,"R",43.4406,-88.6325
"4999","USC00473800","9168R",9168,"R",46.4619,-90.1933
"5000","USC00474080","8665S",8665,"S",45.3497,-90.7483
"5001","USC00474174","6775S",6775,"S",42.5608,-87.8156
"5002","USC00474195","7993R",7993,"R",44.4628,-87.505
"5003","USC00474457","6600R",6600,"R",42.5936,-88.4347
"5004","USC00474482","7265R",7265,"R",43.0803,-88.8967
"5005","USC00474523","8828R",8828,"R",45.3333,-88.4981
"5006","USC00474546","7574S",7574,"S",42.8278,-90.7889
"5007","USC00474582","9273S",9273,"S",45.5119,-88.7594
"5008","USC00474829","9358R",9358,"R",45.8883,-89.1389
"5009","USC00474894","8191S",8191,"S",45.5733,-92.485
"5010","USC00474937","6818S",6818,"S",43.2117,-91.0986
"5011","USC00474953","8767S",8767,"S",46.7781,-90.7653
"5012","USC00475017","7600R",7600,"R",44.0869,-87.6522
